x_max,y_max,z_max,x_min,y_min,z_min,x_std,y_std,z_std,x_mean,y_mean,z_mean,zerocross_x,zerocross_y,zerocross_z,peaks_x,peaks_y,peaks_z
1371,1584,1800,-1359,-1437,-1868,843.4144880082572,907.4793953934451,1204.147726366487,241.15217391304347,239.97560975609755,-92.44444444444444,26,11,13,16,11,12
1341,1371,1803,-1357,-1058,-1802,833.8932678839794,717.9086597188369,1216.6599288087234,245.86666666666667,121.3953488372093,-78.67441860465117,24,12,12,17,10,13
1321,1245,1849,-992,-1093,-1829,711.337382751631,684.3978590128032,1204.0612266598628,311.390243902439,99.4186046511628,-199.45945945945945,20,14,18,12,9,12
